customerName,,Date,comment
هيفاء ا,,قبل 3 أشهر,"الصراحـــة كنت متحمسه اجربه لكن راح اليوم وحنا ماعرفنا نوصل للموقع ،، لنا محاوله له غداً بأذن الله 👌🏼 …"
آمنه أحمد,,قبل 3 أشهر,سيئه جداً جدا جدا تعامل الموظف اليوم في تاريخ 23 September يوم الاثنين الساعه 5:30 جينا قروب لكن كل واحد دافع لحاله رفض يعطيني التوزيعه لكل واحد فينا ! وكمان جابرني اخذ الحجم الكبيره بالنسبه لي التقييم 10/0 ولن يتم تكراره طالما ان التعامل كذا
M Q,,قبل سنة,"قهوة مختصه
المكان جميل جربت فلات وايت وكان مميز
الحلويات عندهم خيارات منوعه
يستحق التجربه"
S,,قبل شهر,حبييت.. جودة القهوة والسويت عندهم عاالية وللفطور انصح بساندوتش الحلوم لذيييذ.. المكان صراحه شوي مزعج من ناحية الموسيقى والقعدات قريبة من بعض👎🏻 …
Rola Suliman,,قبل سنة,"مكان جميل وواسع
الخدمة كويسه
القهوة لذيذة
والحلى ممتاز لكن سعره مرتفع"
AL M,,قبل سنة,"القهوه لذيييذ جداا لكن المكان مزدحم و مافيه تنظيم و الناس حرفيا فوق بعض جيت طلبت مافيه مكان اجلس فيه انتظرت اكثر من ربع ساعه ماتحملت وطلعت خذته سفري اتمنى يشوفون حل لان قهوتهم و السويت والسمعه له واااو
وقت الزياره ١١:٣٠ الظهر"
Sarah S salem,,قبل سنة,"الفلات وايت رهيب مضبوط
الحلا لذيذ
الفطور كان تونه و حلوم لذيذه حداً …"
Maha _,,قبل 5 أشهر,"الفلات وايت عادي
الدريب حلوه
الحلى ثقيل …"
Mohammed تغطيات واكثر,,قبل سنة,"محامص البن groon كوفي ومحمصه المكان شرح وكبير وتصميمه جميل
جربت قهوة اليوم كانت حامضه وماعندهم الا نوع واحد ماكان عندهم خيار لقهوة اليوم الكلاسيكيه …"
abdullah,,قبل 3 أيام,العامل الفلبيني طالب قهوة حار عطني بارد رحت قلت له قال ل م طلبت ال بارد
Noura ALSW,,قبل 4 أشهر,"قهوتهم لذيذه والحلا كل الأنواع حلوه وترضي كل الأذواق مو اول زياره لي له ، الكركديه من افضل الانواع وطعمه جدا لذيذ ، ولكن يعيبه الزحمه افضل وقت لزيارته العصر وقبل يقفل بالليل تكون زحمته اقل ، ويعيبه ان المواقف جدا جدا محدوده ، …"
